Unnamed: 0,bmi,gender,is_training,name,bmi_category
0,34.2073961938,Male,1,img_0.bmp,Obese
1,26.4537197232,Male,1,img_1.bmp,Overweight
2,34.9675605536,Female,1,img_2.bmp,Obese
3,22.044766436,Female,1,img_3.bmp,Normal
4,37.7587890625,Female,1,img_4.bmp,Obese
5,24.8864746094,Female,1,img_5.bmp,Normal
6,25.8455882353,Female,1,img_6.bmp,Overweight
7,21.740700692,Female,1,img_7.bmp,Normal
8,30.6158579882,Female,1,img_8.bmp,Obese
9,26.7888757396,Female,1,img_9.bmp,Overweight
10,38.7327823691,Male,1,img_10.bmp,Obese
11,30.8248393021,Male,1,img_11.bmp,Obese
12,41.3988888889,Male,1,img_12.bmp,Severely Obese
13,31.0491666667,Male,1,img_13.bmp,Obese
14,35.5613965483,Male,1,img_14.bmp,Obese
15,25.7994445547,Male,1,img_15.bmp,Overweight
16,33.199527745,Male,1,img_16.bmp,Obese
17,23.5953786473,Male,1,img_17.bmp,Normal
18,41.2094594595,Male,1,img_18.bmp,Severely Obese
19,21.3108108108,Male,1,img_19.bmp,Normal
20,26.6224852071,Male,1,img_20.bmp,Overweight
21,21.6307692308,Male,1,img_21.bmp,Normal
22,41.8090397924,Male,1,img_22.bmp,Severely Obese
23,22.3488321799,Male,1,img_23.bmp,Normal
24,33.8112792969,Female,1,img_24.bmp,Obese
25,24.8864746094,Female,1,img_25.bmp,Normal
26,35.549342838,Male,1,img_26.bmp,Obese
27,30.8511918022,Male,1,img_27.bmp,Obese
28,31.4511657215,Male,1,img_28.bmp,Obese
29,20.3768115942,Male,1,img_29.bmp,Normal
30,33.9023919753,Male,1,img_30.bmp,Obese
31,27.7999614198,Male,1,img_31.bmp,Overweight
32,31.4703856749,Female,1,img_32.bmp,Obese
33,23.4010560147,Female,1,img_33.bmp,Normal
34,29.2252456538,Female,1,img_34.bmp,Overweight
35,22.1403376165,Female,1,img_35.bmp,Normal
36,31.1667387543,Female,1,img_36.bmp,Obese
37,22.044766436,Female,1,img_37.bmp,Normal
38,41.6866203791,Male,1,img_38.bmp,Severely Obese
39,36.2779133046,Male,1,img_39.bmp,Obese
40,39.5759054232,Male,1,img_40.bmp,Obese
41,28.8904109589,Male,1,img_41.bmp,Overweight
42,43.5334959655,Male,1,img_42.bmp,Severely Obese
43,35.6183148808,Male,1,img_43.bmp,Obese
44,36.4878892734,Male,1,img_44.bmp,Obese
45,25.8455882353,Male,1,img_45.bmp,Overweight
46,37.9321563182,Male,1,img_46.bmp,Obese
47,30.4015076374,Male,1,img_47.bmp,Obese
48,44.0731095679,Male,1,img_48.bmp,Severely Obese
49,40.6828703704,Male,1,img_49.bmp,Severely Obese
50,27.8220155709,Male,1,img_50.bmp,Overweight
51,21.2846020761,Male,1,img_51.bmp,Normal
52,36.4878892734,Male,1,img_52.bmp,Obese
53,27.365916955,Male,1,img_53.bmp,Overweight
54,35.7277249135,Female,1,img_54.bmp,Obese
55,21.2846020761,Female,1,img_55.bmp,Normal
56,37.9258494031,Female,1,img_56.bmp,Obese
57,23.4010560147,Female,1,img_57.bmp,Normal
58,38.2736816406,Female,1,img_58.bmp,Obese
59,29.1772460938,Female,1,img_59.bmp,Overweight
60,30.2446222222,Male,1,img_60.bmp,Obese
61,21.9960888889,Male,1,img_61.bmp,Normal
62,33.2990677753,Female,1,img_62.bmp,Obese
63,23.9115646259,Female,1,img_63.bmp,Normal
64,37.5852082869,Male,1,img_64.bmp,Obese
65,26.6228558699,Male,1,img_65.bmp,Overweight
66,51.4892578125,Female,1,img_66.bmp,Severely Obese
67,25.7446289062,Female,1,img_67.bmp,Overweight
68,41.6866203791,Male,1,img_68.bmp,Severely Obese
69,29.5500093826,Male,1,img_69.bmp,Overweight
70,37.9736842105,Male,1,img_70.bmp,Obese
71,31.8881578947,Male,1,img_71.bmp,Obese
72,41.9701492537,Male,1,img_72.bmp,Severely Obese
73,26.3096458008,Male,1,img_73.bmp,Overweight
74,51.4892578125,Female,1,img_74.bmp,Severely Obese
75,24.0283203125,Female,1,img_75.bmp,Normal
76,31.9469822485,Female,1,img_76.bmp,Obese
77,25.1249704142,Female,1,img_77.bmp,Overweight
78,39.9342838049,Male,1,img_78.bmp,Obese
79,32.8870572511,Male,1,img_79.bmp,Obese
80,39.4644687013,Female,1,img_80.bmp,Obese
81,26.936065939,Female,1,img_81.bmp,Overweight
82,46.25,Male,1,img_82.bmp,Severely Obese
83,29.2105263158,Male,1,img_83.bmp,Overweight
