model,pearson_r,mae,rmse,r2
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.5,0.1,0.2,0.20)",0.6767404550226884,4.853328728191374,6.857795837787973,0.4460148736718519
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.6,0.1,0.2,0.10)",0.6766460385598734,4.850403204952607,6.859345698543677,0.44576444427775486
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.5,0.1,0.3,0.10)",0.676566221523411,4.8677076912971495,6.880242134055793,0.4423824340461672
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.4,0.1,0.3,0.20)",0.6764897853492122,4.871875342365954,6.879637395598524,0.44248045326129437
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.4,0.1,0.2,0.30)",0.6763042984781056,4.860210162136092,6.859568558214479,0.4457284295423999
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.5,0.2,0.2,0.10)",0.6762397726318515,4.858361764998846,6.879151672339691,0.4425591756229179
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.6,0.1,0.3,0.00)",0.6760809212312539,4.867037706246734,6.88415786940286,0.4417475423924415
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.4,0.2,0.2,0.20)",0.6760741485733953,4.863294153140359,6.879085797119734,0.4425698517535932
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.5,0.2,0.1,0.20)",0.6759450447470872,4.848812130970472,6.8609005889485735,0.44551314531717234
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.6,0.2,0.1,0.10)",0.6759385568375339,4.845620653605054,6.8619094739259845,0.4453500604331819
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.6,0.1,0.1,0.20)",0.6759246728355998,4.844661239212411,6.845801763102721,0.4479509850957669
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.1,0.3,0.30)",0.6758548931709674,4.879130145310421,6.882344619543649,0.4420415850040793
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.5,0.1,0.1,0.30)",0.6756710227671809,4.85017610871341,6.846632764259365,0.4478169522302351
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.4,0.2,0.1,0.30)",0.6754346804802991,4.855694496438583,6.863212713073737,0.44513935810326866
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.4,0.2,0.3,0.10)",0.6753802310953675,4.882606272435216,6.906181187144909,0.4381699843366166
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.2,0.2,0.30)",0.6753640607156011,4.87081472656491,6.882331943656354,0.442043640295368
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.1,0.2,0.40)",0.6753431215198447,4.869779487840329,6.864661371662109,0.44490509799809164
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.5,0.3,0.1,0.10)",0.6752817452857258,4.853923263422906,6.883131976603173,0.4419139140865457
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.4,0.1,0.4,0.10)",0.6752534543611604,4.8958827782422825,6.910899008905641,0.43740211591288747
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.4,0.3,0.1,0.20)",0.6750328710835573,4.859737949213691,6.883604744740726,0.4418372471327693
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.2,0.3,0.20)",0.6750264352199964,4.886784120525243,6.9070523374816695,0.4380282361654845
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.6,0.3,0.1,0.00)",0.6749968992970337,4.854794505859762,6.8859693370002155,0.4414537114530329
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.1,0.4,0.20)",0.6749902220030741,4.899715010246877,6.91123315357218,0.4373477109427657
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.4,0.1,0.1,0.40)",0.6749192200969625,4.858264194843786,6.850790862453331,0.4471460447562041
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.4,0.3,0.2,0.10)",0.674820455687167,4.8742347557080805,6.9065138989595445,0.4381158496472226
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.1,0.3,0.40)",0.6746689239538779,4.88905287998948,6.888359967803696,0.4410658184246935
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.2,0.1,0.40)",0.6744133584169587,4.866967050684408,6.868842588015585,0.44422868335795007
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.3,0.2,0.20)",0.6743826275218008,4.879660062334077,6.907921717191975,0.4378867582750803
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.3,0.1,0.30)",0.6742545571110847,4.869086589145559,6.887387071426265,0.44122369247353355
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.1,0.4,0.30)",0.6741419170395225,4.908102003992182,6.9148637840947424,0.4367564071654837
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.2,0.2,0.40)",0.6741172202313128,4.882230319837088,6.888885499735435,0.44098052991870296
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.2,0.3,0.30)",0.674101601741809,4.895488714873,6.911221621694255,0.4373495885909233
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.1,0.2,0.50)",0.6738660691204004,4.881731485919409,6.873066962120942,0.4435448686166018
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.1,0.1,0.50)",0.6736765076399129,4.870511312283816,6.858270085037534,0.4459382499248026
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.4,0.4,0.1,0.10)",0.6736248611775524,4.8717316311009276,6.911896415010446,0.4372397118447058
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.3,0.2,0.30)",0.6733890329504229,4.889949623552798,6.9126268251822385,0.43712076690324
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.2,0.4,0.10)",0.6731710454649283,4.917304350868967,6.942883804951061,0.4321824709682994
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.4,0.1,0.20)",0.6731098219628605,4.879012017107157,6.91383938759499,0.4369232772715531
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.3,0.3,0.10)",0.6730850496116819,4.903293700320221,6.939600042967732,0.4327194630093254
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.3,0.1,0.40)",0.6729547626166004,4.882025483251491,6.894473582468466,0.44007323829958944
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.2,0.1,0.50)",0.6728903722809139,4.881412320672171,6.877782133730211,0.4427811101791812
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.2,0.4,0.20)",0.6726146115097777,4.923356023412805,6.9446821170004265,0.4318882861958423
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.3,0.3,0.20)",0.6724435909548372,4.910547541778916,6.941933289466627,0.4323379344395891
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.3,0.4,0.2,0.10)",0.6723078350539833,4.896138170681624,6.941343108659129,0.4324344519372285
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.4,0.1,0.30)",0.6720552827257813,4.888840288913787,6.919076319332645,0.43606994210243366
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.1,0.1,0.60)",0.6719532408467042,4.884093300615131,6.869059645385136,0.44419355774120894
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.4,0.2,0.20)",0.6715888647843746,4.904443779375181,6.944209678076415,0.4319655795702131
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.3,0.4,0.10)",0.6698840099680018,4.946169938423371,6.9822525371747455,0.4257247409086369
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.2,0.4,0.3,0.10)",0.669603763559595,4.933672080835241,6.980391358636912,0.426030855970691
